date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:37:56	980/980	---M--	404	error ('Not%20Found')	text/html	etag:%22e4002-3d4-991e3000%22	http://mapserver.inegi.org.mx/robots.txt		(from )
15:37:57	21503/21503	---MC-	200	added ('Accept-Encoding')	text/html	date:Wed,%2012%20Oct%202016%2020:38:42%20GMT	http://mapserver.inegi.org.mx/CEM3_mapa/	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/index.html	(from )
15:37:57	655/655	---M--	200	added ('Accept-Encoding')	image/gif	etag:W/%22655-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/css/images/icoINEGI.gif	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/css/images/icoINEGI.gif	(from http://mapserver.inegi.org.mx/CEM3_mapa/)
15:37:58	10292/10292	---M--	200	added ('Accept-Encoding')	text/css	etag:W/%2210292-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/css/leaflet.css	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/css/leaflet.css	(from http://mapserver.inegi.org.mx/CEM3_mapa/)
15:37:59	5434/5434	---M--	200	added ('Accept-Encoding')	text/css	etag:W/%225434-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/css/leaflet.draw.css	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/css/leaflet.draw.css	(from http://mapserver.inegi.org.mx/CEM3_mapa/)
15:37:59	1073/1073	---M--	200	added ('Accept-Encoding')	application/javascript	etag:W/%221073-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/js/Leaflet.draw.js	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/js/Leaflet.draw.js	(from http://mapserver.inegi.org.mx/CEM3_mapa/)
15:38:00	2671/2671	---M--	200	added ('Accept-Encoding')	application/javascript	etag:W/%222671-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/js/Edit.SimpleShape.js	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/js/Edit.SimpleShape.js	(from http://mapserver.inegi.org.mx/CEM3_mapa/)
15:38:00	6114/6114	---M--	200	added ('Accept-Encoding')	application/javascript	etag:W/%226114-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/js/Edit.Poly.js	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/js/Edit.Poly.js	(from http://mapserver.inegi.org.mx/CEM3_mapa/)
15:38:00	5537/5537	---M--	200	added ('Accept-Encoding')	application/javascript	etag:W/%225537-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/js/Edit.Rectangle.js	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/js/Edit.Rectangle.js	(from http://mapserver.inegi.org.mx/CEM3_mapa/)
15:38:00	1709/1709	---M--	200	added ('Accept-Encoding')	application/javascript	etag:W/%221709-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/js/Draw.Feature.js	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/js/Draw.Feature.js	(from http://mapserver.inegi.org.mx/CEM3_mapa/)
15:38:01	2305/2305	---M--	200	added ('Accept-Encoding')	application/javascript	etag:W/%222305-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/js/Draw.Polygon.js	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/js/Draw.Polygon.js	(from http://mapserver.inegi.org.mx/CEM3_mapa/)
15:38:02	1871/1871	---M--	200	added ('Accept-Encoding')	application/javascript	etag:W/%221871-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/js/Draw.SimpleShape.js	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/js/Draw.SimpleShape.js	(from http://mapserver.inegi.org.mx/CEM3_mapa/)
15:38:02	9989/9989	---M--	200	added ('Accept-Encoding')	application/javascript	etag:W/%229989-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/js/Draw.Polyline.js	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/js/Draw.Polyline.js	(from http://mapserver.inegi.org.mx/CEM3_mapa/)
15:38:02	4102/4102	---M--	200	added ('Accept-Encoding')	application/javascript	etag:W/%224102-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/js/Draw.Rectangle.js	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/js/Draw.Rectangle.js	(from http://mapserver.inegi.org.mx/CEM3_mapa/)
15:38:02	2488/2488	---M--	200	added ('Accept-Encoding')	application/javascript	etag:W/%222488-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/js/Control.Draw.js	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/js/Control.Draw.js	(from http://mapserver.inegi.org.mx/CEM3_mapa/)
15:38:02	1669/1669	---M--	200	added ('Accept-Encoding')	application/javascript	etag:W/%221669-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/js/Tooltip.js	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/js/Tooltip.js	(from http://mapserver.inegi.org.mx/CEM3_mapa/)
15:38:03	1802/1802	---M--	200	added ('Accept-Encoding')	application/javascript	etag:W/%221802-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/js/DrawToolbar.js	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/js/DrawToolbar.js	(from http://mapserver.inegi.org.mx/CEM3_mapa/)
15:38:03	5079/5079	---M--	200	added ('Accept-Encoding')	application/javascript	etag:W/%225079-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/js/Toolbar.js	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/js/Toolbar.js	(from http://mapserver.inegi.org.mx/CEM3_mapa/)
15:38:04	4047/4047	---M--	200	added ('Accept-Encoding')	application/javascript	etag:W/%224047-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/js/EditToolbar.js	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/js/EditToolbar.js	(from http://mapserver.inegi.org.mx/CEM3_mapa/)
15:38:04	386/386	---M--	200	added ('Accept-Encoding')	application/javascript	etag:W/%22386-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/js/LatLngUtil.js	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/js/LatLngUtil.js	(from http://mapserver.inegi.org.mx/CEM3_mapa/)
15:38:04	3353/3353	---M--	200	added ('Accept-Encoding')	application/javascript	etag:W/%223353-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/js/EditToolbar.Delete.js	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/js/EditToolbar.Delete.js	(from http://mapserver.inegi.org.mx/CEM3_mapa/)
15:38:04	8894/8894	---M--	200	added ('Accept-Encoding')	application/javascript	etag:W/%228894-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/js/EditToolbar.Edit.js	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/js/EditToolbar.Edit.js	(from http://mapserver.inegi.org.mx/CEM3_mapa/)
15:38:05	2582/2582	---M--	200	added ('Accept-Encoding')	application/javascript	etag:W/%222582-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/js/BaseMarkerMethods.js	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/js/BaseMarkerMethods.js	(from http://mapserver.inegi.org.mx/CEM3_mapa/)
15:38:05	1381/1381	---M--	200	added ('Accept-Encoding')	application/javascript	etag:W/%221381-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/js/Marker.Label.js	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/js/Marker.Label.js	(from http://mapserver.inegi.org.mx/CEM3_mapa/)
15:38:05	186/186	---M--	200	added ('Accept-Encoding')	application/javascript	etag:W/%22186-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/js/CircleMarker.Label.js	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/js/CircleMarker.Label.js	(from http://mapserver.inegi.org.mx/CEM3_mapa/)
15:38:05	5542/5542	---M--	200	added ('Accept-Encoding')	application/javascript	etag:W/%225542-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/js/Label.js	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/js/Label.js	(from http://mapserver.inegi.org.mx/CEM3_mapa/)
15:38:05	1139/1139	---M--	200	added ('Accept-Encoding')	application/javascript	etag:W/%221139-1474562330000%22	http://mapserver.inegi.org.mx/CEM3_mapa/js/Path.Label.js	C:/My%20Web%20Sites/inegi/mapserver.inegi.org.mx/CEM3_mapa/js/Path.Label.js	(from http://mapserver.inegi.org.mx/CEM3_mapa/)
